Participant,MusicState,Criteria,Score
1,0,Performance,4
2,0,Performance,4
3,0,Performance,3
4,0,Performance,4
5,0,Performance,4
6,0,Performance,4
7,0,Performance,4
8,0,Performance,4
9,0,Performance,3
10,0,Performance,4
11,0,Performance,3
12,0,Performance,5
13,0,Performance,5
14,0,Performance,4
15,0,Performance,2
16,0,Performance,5
17,0,Performance,3
18,0,Performance,4
19,0,Performance,4
20,0,Performance,4
21,0,Performance,4
22,0,Performance,4
23,0,Performance,4
24,0,Performance,3
25,0,Performance,5
26,0,Performance,4
27,0,Performance,4
28,0,Performance,2
29,0,Performance,4
30,0,Performance,4
1,0,Dynamism,3
2,0,Dynamism,4
3,0,Dynamism,4
4,0,Dynamism,4
5,0,Dynamism,4
6,0,Dynamism,4
7,0,Dynamism,4
8,0,Dynamism,4
9,0,Dynamism,2
10,0,Dynamism,4
11,0,Dynamism,4
12,0,Dynamism,5
13,0,Dynamism,4
14,0,Dynamism,3
15,0,Dynamism,4
16,0,Dynamism,5
17,0,Dynamism,4
18,0,Dynamism,3
19,0,Dynamism,4
20,0,Dynamism,4
21,0,Dynamism,3
22,0,Dynamism,4
23,0,Dynamism,4
24,0,Dynamism,4
25,0,Dynamism,4
26,0,Dynamism,4
27,0,Dynamism,4
28,0,Dynamism,2
29,0,Dynamism,2
30,0,Dynamism,4
1,0,Empathetic,3
2,0,Empathetic,2
3,0,Empathetic,3
4,0,Empathetic,2
5,0,Empathetic,2
6,0,Empathetic,3
7,0,Empathetic,4
8,0,Empathetic,3
9,0,Empathetic,4
10,0,Empathetic,2
11,0,Empathetic,3
12,0,Empathetic,3
13,0,Empathetic,4
14,0,Empathetic,2
15,0,Empathetic,1
16,0,Empathetic,3
17,0,Empathetic,1
18,0,Empathetic,2
19,0,Empathetic,2
20,0,Empathetic,2
21,0,Empathetic,3
22,0,Empathetic,4
23,0,Empathetic,4
24,0,Empathetic,3
25,0,Empathetic,1
26,0,Empathetic,5
27,0,Empathetic,2
28,0,Empathetic,2
29,0,Empathetic,2
30,0,Empathetic,3
1,0,Enjoyment,3
2,0,Enjoyment,3
3,0,Enjoyment,2
4,0,Enjoyment,3
5,0,Enjoyment,2
6,0,Enjoyment,2
7,0,Enjoyment,3
8,0,Enjoyment,2
9,0,Enjoyment,2
10,0,Enjoyment,3
11,0,Enjoyment,2
12,0,Enjoyment,3
13,0,Enjoyment,3
14,0,Enjoyment,3
15,0,Enjoyment,2
16,0,Enjoyment,1
17,0,Enjoyment,3
18,0,Enjoyment,3
19,0,Enjoyment,3
20,0,Enjoyment,3
21,0,Enjoyment,2
22,0,Enjoyment,2
23,0,Enjoyment,2
24,0,Enjoyment,3
25,0,Enjoyment,2
26,0,Enjoyment,2
27,0,Enjoyment,3
28,0,Enjoyment,1
29,0,Enjoyment,2
30,0,Enjoyment,3
1,0,Concentration,3
2,0,Concentration,4
3,0,Concentration,3
4,0,Concentration,4
5,0,Concentration,4
6,0,Concentration,5
7,0,Concentration,4
8,0,Concentration,5
9,0,Concentration,3
10,0,Concentration,4
11,0,Concentration,4
12,0,Concentration,5
13,0,Concentration,4
14,0,Concentration,3
15,0,Concentration,2
16,0,Concentration,4
17,0,Concentration,5
18,0,Concentration,5
19,0,Concentration,3
20,0,Concentration,3
21,0,Concentration,4
22,0,Concentration,4
23,0,Concentration,4
24,0,Concentration,3
25,0,Concentration,4
26,0,Concentration,4
27,0,Concentration,5
28,0,Concentration,2
29,0,Concentration,3
30,0,Concentration,4
1,1,Performance,4
2,1,Performance,5
3,1,Performance,4
4,1,Performance,2
5,1,Performance,4
6,1,Performance,4
7,1,Performance,5
8,1,Performance,2
9,1,Performance,4
10,1,Performance,3
11,1,Performance,5
12,1,Performance,3
13,1,Performance,2
14,1,Performance,5
15,1,Performance,3
16,1,Performance,5
17,1,Performance,3
18,1,Performance,4
19,1,Performance,5
20,1,Performance,4
21,1,Performance,5
22,1,Performance,5
23,1,Performance,5
24,1,Performance,5
25,1,Performance,5
26,1,Performance,5
27,1,Performance,5
28,1,Performance,4
29,1,Performance,5
30,1,Performance,5
1,1,Dynamism,4
2,1,Dynamism,4
3,1,Dynamism,4
4,1,Dynamism,4
5,1,Dynamism,2
6,1,Dynamism,4
7,1,Dynamism,5
8,1,Dynamism,2
9,1,Dynamism,5
10,1,Dynamism,4
11,1,Dynamism,5
12,1,Dynamism,3
13,1,Dynamism,5
14,1,Dynamism,4
15,1,Dynamism,4
16,1,Dynamism,5
17,1,Dynamism,4
18,1,Dynamism,5
19,1,Dynamism,4
20,1,Dynamism,4
21,1,Dynamism,5
22,1,Dynamism,5
23,1,Dynamism,5
24,1,Dynamism,5
25,1,Dynamism,4
26,1,Dynamism,5
27,1,Dynamism,5
28,1,Dynamism,5
29,1,Dynamism,5
30,1,Dynamism,5
1,1,Empathetic,5
2,1,Empathetic,5
3,1,Empathetic,4
4,1,Empathetic,5
5,1,Empathetic,4
6,1,Empathetic,4
7,1,Empathetic,5
8,1,Empathetic,4
9,1,Empathetic,4
10,1,Empathetic,5
11,1,Empathetic,4
12,1,Empathetic,5
13,1,Empathetic,4
14,1,Empathetic,5
15,1,Empathetic,5
16,1,Empathetic,5
17,1,Empathetic,5
18,1,Empathetic,4
19,1,Empathetic,4
20,1,Empathetic,4
21,1,Empathetic,5
22,1,Empathetic,5
23,1,Empathetic,5
24,1,Empathetic,5
25,1,Empathetic,3
26,1,Empathetic,5
27,1,Empathetic,5
28,1,Empathetic,5
29,1,Empathetic,5
30,1,Empathetic,5
1,1,Enjoyment,5
2,1,Enjoyment,5
3,1,Enjoyment,4
4,1,Enjoyment,5
5,1,Enjoyment,4
6,1,Enjoyment,3
7,1,Enjoyment,5
8,1,Enjoyment,3
9,1,Enjoyment,5
10,1,Enjoyment,4
11,1,Enjoyment,5
12,1,Enjoyment,3
13,1,Enjoyment,4
14,1,Enjoyment,4
15,1,Enjoyment,4
16,1,Enjoyment,5
17,1,Enjoyment,3
18,1,Enjoyment,4
19,1,Enjoyment,4
20,1,Enjoyment,4
21,1,Enjoyment,5
22,1,Enjoyment,5
23,1,Enjoyment,5
24,1,Enjoyment,5
25,1,Enjoyment,3
26,1,Enjoyment,5
27,1,Enjoyment,5
28,1,Enjoyment,5
29,1,Enjoyment,5
30,1,Enjoyment,4
1,1,Concentration,4
2,1,Concentration,5
3,1,Concentration,3
4,1,Concentration,2
5,1,Concentration,3
6,1,Concentration,3
7,1,Concentration,5
8,1,Concentration,2
9,1,Concentration,4
10,1,Concentration,3
11,1,Concentration,5
12,1,Concentration,2
13,1,Concentration,3
14,1,Concentration,4
15,1,Concentration,4
16,1,Concentration,5
17,1,Concentration,4
18,1,Concentration,3
19,1,Concentration,4
20,1,Concentration,4
21,1,Concentration,5
22,1,Concentration,5
23,1,Concentration,5
24,1,Concentration,5
25,1,Concentration,4
26,1,Concentration,5
27,1,Concentration,5
28,1,Concentration,4
29,1,Concentration,5
30,1,Concentration,5